scale,dataset,sample_index,sample_id,d_pos,d_neg_1,d_neg_2,d_neg_3,d_neg_4,D_min,D_mean,D_max,D_std,mean_minus_min,pos_minus_min,pos_minus_mean,negative_cv,weight_max,N_eff,weight_entropy
10k,vggss,0,-0BIyqJj9ZU_000030,1.957581116585061e-05,6.0303624195512384e-05,2.1213605577941053e-05,2.5210036255884916e-05,1.1812139746325556e-05,1.1812139746325556e-05,2.9634851443915977e-05,6.0303624195512384e-05,1.836245521252481e-05,1.782271169759042e-05,7.763671419525053e-06,-1.0059040278065368e-05,0.6196236632829356,0.40767227453548116,3.217689051441697,1.243098791343322
10k,vggss,1,-0UuUoXQUoI_000107,7.772656681481749e-05,7.361009920714423e-05,2.8980091883568093e-05,0.00011431799794081599,0.00016994256293401122,2.8980091883568093e-05,9.671268799138488e-05,0.00016994256293401122,5.194707813382431e-05,6.773259610781679e-05,4.8746474931249395e-05,-1.8986121176567394e-05,0.5371278496411115,0.8170578415057915,1.4482459696613474,0.5767738116280611
10k,vggss,2,-2-wdcN5vOw_000017,5.658320333168376e-06,7.38758126317407e-06,1.0907762771239504e-05,1.461254942114465e-05,2.294925070600584e-05,7.38758126317407e-06,1.3964286040391016e-05,2.294925070600584e-05,5.7824133299753375e-06,6.576704777216946e-06,-1.7292609300056938e-06,-8.30596570722264e-06,0.41408585539210446,0.31410826770618455,3.8350085866151264,1.3640007823161087
10k,vggss,3,-23CeprtibU_000030,9.647663682699203e-05,4.6200442739063874e-05,8.437950600637123e-05,0.00019639065430965275,2.738299372140318e-05,2.738299372140318e-05,8.858839919412276e-05,0.00019639065430965275,6.553983807840787e-05,6.120540547271958e-05,6.909364310558885e-05,7.888237632869277e-06,0.7398241606645489,0.6245728247015779,2.051488070292779,0.8496587330408021
10k,vggss,4,-2Dm0VjW8oM_000001,2.3480484742322005e-05,2.4574641429353505e-05,1.6016825611586682e-05,3.7712539779022336e-05,9.26904976950027e-06,9.26904976950027e-06,2.18932641473657e-05,3.7712539779022336e-05,1.0622412439763609e-05,1.2624214377865428e-05,1.4211434972821735e-05,1.5872205949563067e-06,0.48519089562264966,0.3751283399148577,3.518225396400635,1.3151319883428656
10k,vggss,5,-2sOH8XovEE_000484,7.3769092523434665e-06,4.9897593271452934e-05,2.011371179833077e-05,0.00026873309980146587,1.4124687368166633e-05,1.4124687368166633e-05,8.821727305985405e-05,0.00026873309980146587,0.00010509777337588475,7.409258569168742e-05,-6.7477781158231664e-06,-8.084036380751058e-05,1.1913514182713123,0.48791270511260365,2.475393435417712,0.9767211727233873
10k,vggss,6,-3Kv4fdm7Uk_000030,0.00010479602497071028,0.00016015976143535227,2.571079312474467e-05,0.0001524222461739555,0.00012353672354947776,2.571079312474467e-05,0.00011545738107088255,0.00016015976143535227,5.358271616202e-05,8.974658794613788e-05,7.908523184596561e-05,-1.066135610017227e-05,0.46409086768670127,0.9640279082356086,1.0753167959622556,0.18753302773734004
10k,vggss,7,-4bPiXbovf0_000008,3.920735980500467e-05,3.833772643702105e-05,3.744657078641467e-05,3.0678198527311906e-05,4.67904974357225e-05,3.0678198527311906e-05,3.831324829661753e-05,4.67904974357225e-05,5.720783753828641e-06,7.635049769305624e-06,8.529161277692765e-06,8.941115083871409e-07,0.1493160723293122,0.32707039081119327,3.8258572903049317,1.3633497724777166
10k,vggss,8,-5CGQGSFGyg_000060,1.1169101526320446e-05,6.864063834655099e-06,9.564684660290368e-06,8.432502363575622e-05,6.843302253400907e-05,6.864063834655099e-06,4.229669866617769e-05,8.432502363575622e-05,3.4555549037232437e-05,3.543263483152259e-05,4.305037691665348e-06,-3.1127597139857244e-05,0.8169798146649346,0.4882471095681434,2.298711123143585,0.9461260522668744
10k,vggss,9,-5z9IXBJefc_000227,1.5290437659132294e-05,1.6208814486162737e-05,2.70616146735847e-05,1.2782625162799377e-05,7.832497067283839e-05,1.2782625162799377e-05,3.35945062488463e-05,7.832497067283839e-05,2.6357588055088364e-05,2.0811881086046924e-05,2.5078124963329174e-06,-1.8304068589714007e-05,0.7845803078589236,0.3940926979935221,3.049887524606176,1.181651080206378
10k,vggss,10,-79qo5MUYBk_000207,2.1428477339213714e-05,2.9507884391932748e-05,2.1266014300636016e-05,1.4578050468116999e-05,1.906803299789317e-05,1.4578050468116999e-05,2.1104995539644733e-05,2.9507884391932748e-05,5.417210916803418e-06,6.526945071527734e-06,6.850426871096715e-06,3.2348179956898093e-07,0.25667908370923104,0.3143652481208171,3.851258822297276,1.3664289995831416
10k,vggss,11,-7TanrCbmME_000030,1.4204679246176966e-05,8.298957982333377e-05,4.449980042409152e-05,4.148795414948836e-05,5.9541460359469056e-05,4.148795414948836e-05,5.7129698689095676e-05,8.298957982333377e-05,1.6422001621744347e-05,1.5641744539607316e-05,-2.7283274903311394e-05,-4.292501944291871e-05,0.2874512206184418,0.3851366909804785,3.230454371790683,1.2520192536142116
10k,vggss,12,-7sg--aJdrc_000049,6.848442353657447e-06,3.528896195348352e-05,1.1758809705497697e-05,8.414805051870644e-05,7.116400229278952e-05,1.1758809705497697e-05,5.0589956117619295e-05,8.414805051870644e-05,2.8685429358564836e-05,3.88311464121216e-05,-4.91036735184025e-06,-4.374151376396185e-05,0.5670182692365368,0.6361668931132072,2.09464577470946,0.9443692959668073
10k,vggss,13,-7tYmeOmsRg_000058,1.9431283362791874e-05,2.4646358724567108e-05,0.00011200096196262166,1.9298311599413864e-05,5.925934965489432e-05,1.9298311599413864e-05,5.380124548537424e-05,0.00011200096196262166,3.6937304205679915e-05,3.4502933885960374e-05,1.329717633780092e-07,-3.4369962122582365e-05,0.6865510988164994,0.48535393708324354,2.479814062362845,1.0142282841001478
10k,vggss,14,-7tYmeOmsRg_000180,1.423141839040909e-05,1.1959724361076951e-05,2.1089279471198097e-05,1.3315745491127018e-05,0.00013098081399220973,1.1959724361076951e-05,4.433639082890295e-05,0.00013098081399220973,5.014532186685173e-05,3.2376666467826e-05,2.2716940293321386e-06,-3.010497243849386e-05,1.1310194837546843,0.37522880799030384,2.9609672692988296,1.1091213271222855
10k,vggss,15,-86gl1hp1Aw_000105,2.3035499907564372e-05,5.2304676501080394e-05,1.8266975530423224e-05,2.5426426873309538e-05,2.3326821974478662e-05,1.8266975530423224e-05,2.9831225219822954e-05,5.2304676501080394e-05,1.3233455646781438e-05,1.156424968939973e-05,4.768524377141148e-06,-6.7957253122585826e-06,0.44361086577120407,0.35013238637091765,3.499623982438581,1.3022272999973699
10k,vggss,16,-8cgbhIR_pw_000030,8.748024993110448e-05,6.511744868475944e-05,1.6003054042812437e-05,2.3503240299760364e-05,0.00010748299246188253,1.6003054042812437e-05,5.302668387230369e-05,0.00010748299246188253,3.658571792751203e-05,3.7023629829491256e-05,7.147719588829204e-05,3.445356605880079e-05,0.6899491964388343,0.517259234741613,2.35446721164216,0.9736697027086413
10k,vggss,17,-A3zsFeU_OI_000030,3.740688771358691e-05,3.4864464396378025e-05,5.420707384473644e-05,2.9822191208950244e-05,2.0094210412935354e-05,2.0094210412935354e-05,3.4746984965750016e-05,5.420707384473644e-05,1.2426446155652254e-05,1.4652774552814662e-05,1.7312677300651558e-05,2.6599027478368953e-06,0.35762660178720423,0.39551579926094954,3.4162659764085745,1.2960285984314406
10k,vggss,18,-ANxUxvGASw_000010,3.231225855415687e-05,2.4187133021769114e-05,4.781437019119039e-05,4.409520988701843e-05,1.7204367395606823e-05,1.7204367395606823e-05,3.332527012389619e-05,4.781437019119039e-05,1.2935558334814787e-05,1.6120902728289366e-05,1.5107891158550046e-05,-1.0130115697393194e-06,0.3881606446616385,0.4110696482786316,3.2701796457711194,1.273485970746656
